"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,0.6457393,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,3.641667,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,1.391011,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,1.768438,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,1.916933,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.084429,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,1.84136,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.188824,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.297605,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.2068405,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.4791743,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,4.2696,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,3.222196,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,3.462432,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.961518,,
"CPGDFD","Consumer prices - food","AUT","Austria","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.8257796,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,0.8654997,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.228746,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,2.197124,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.041098,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,1.534049,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,1.935048,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2006","2006","PC","Percentage","0","Units",,,2.424403,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2007","2007","PC","Percentage","0","Units",,,3.906927,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.075796,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.8468629,,
"CPGDFD","Consumer prices - food","BEL","Belgium","GY","Percentage change on the same period of the previous year","A","Annual","2010","2010","PC","Percentage","0","Units",,,1.660945,,
