"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2000","Belgium","Population on 1 January - total ","10,239,085",""
"2000","Belgium","Population on 1 January - males","5,006,014",""
"2000","Belgium","Population on 1 January - females","5,233,071",""
"2000","Belgium","Average population - total","10,251,250",""
"2000","Belgium","Average population - males","5,012,017",""
"2000","Bulgaria","Population on 1 January - total ","8,190,876",""
"2000","Bulgaria","Population on 1 January - males","3,991,161",""
"2000","Bulgaria","Population on 1 January - females","4,199,715",""
"2000","Bulgaria","Average population - total","8,170,172",""
"2000","Bulgaria","Average population - males","3,979,292",""
"2000","Czech Republic","Population on 1 January - total ","10,278,098",""
"2000","Czech Republic","Population on 1 January - males","5,001,062",""
"2000","Czech Republic","Population on 1 January - females","5,277,036",""
"2000","Czech Republic","Average population - total","10,255,063",""
"2000","Czech Republic","Average population - males","4,991,711",""
"2000","Denmark","Population on 1 January - total ","5,330,020",""
"2000","Denmark","Population on 1 January - males","2,634,122",""
"2000","Denmark","Population on 1 January - females","2,695,898",""
"2000","Denmark","Average population - total","5,339,616",""
"2000","Denmark","Average population - males","2,639,221",""
"2000","Germany (until 1990 former territory of the FRG)","Population on 1 January - total ","82,163,475",""
"2000","Germany (until 1990 former territory of the FRG)","Population on 1 January - males","40,090,776",""
"2000","Germany (until 1990 former territory of the FRG)","Population on 1 January - females","42,072,699",""
"2000","Germany (until 1990 former territory of the FRG)","Average population - total","82,211,508",""
"2000","Germany (until 1990 former territory of the FRG)","Average population - males","40,123,656",""
"2000","Estonia","Population on 1 January - total ","1,401,250",""
"2000","Estonia","Population on 1 January - males","653,080",""
"2000","Estonia","Population on 1 January - females","748,170",""
"2000","Estonia","Average population - total","1,396,985",""
"2000","Estonia","Average population - males","651,075",""
"2000","Ireland","Population on 1 January - total ","3,777,565",""
"2000","Ireland","Population on 1 January - males","1,876,864",""
"2000","Ireland","Population on 1 January - females","1,900,701",""
"2000","Ireland","Average population - total","3,805,174",""
"2000","Ireland","Average population - males","1,891,223",""
"2000","Greece","Population on 1 January - total ","10,775,627",""
"2000","Greece","Population on 1 January - males","5,301,521",""
"2000","Greece","Population on 1 January - females","5,474,106",""
"2000","Greece","Average population - total","10,805,808",""
"2000","Greece","Average population - males","5,315,785",""
"2000","Spain","Population on 1 January - total ","40,470,182",""
"2000","Spain","Population on 1 January - males","19,826,339",""
"2000","Spain","Population on 1 January - females","20,643,843",""
"2000","Spain","Average population - total","40,567,864",""
"2000","Spain","Average population - males","19,875,116",""
"2000","France","Population on 1 January - total ","60,545,022",""
"2000","France","Population on 1 January - males","29,383,653",""
"2000","France","Population on 1 January - females","31,161,369",""
"2000","France","Average population - total","60,762,169",""
"2000","France","Average population - males","29,480,990",""
"2000","Croatia","Population on 1 January - total ","4,497,735","e"
"2000","Croatia","Population on 1 January - males","2,163,078","e"
"2000","Croatia","Population on 1 January - females","2,334,657","e"
"2000","Croatia","Average population - total","4,468,302","e"
"2000","Croatia","Average population - males","2,113,588","e"
"2000","Italy","Population on 1 January - total ","56,923,524",""
"2000","Italy","Population on 1 January - males","27,562,988",""
"2000","Italy","Population on 1 January - females","29,360,536",""
"2000","Italy","Average population - total","56,942,108",""
"2000","Italy","Average population - males","27,569,657",""
"2000","Cyprus","Population on 1 January - total ","690,497",""
"2000","Cyprus","Population on 1 January - males","339,655",""
